iteracao,score
3490,-4214.637005117203
3500,-4214.637005117203
3510,-4214.637005117203
3520,-4214.637005117203
3530,-4214.637005117203
3540,-4214.637005117203
3550,-4214.637005117203
3560,-4214.637005117203
3570,-4214.637005117203
3580,-4214.637005117203
3590,-4214.637005117203
3600,-4214.637005117203
3610,-4214.637005117203
3620,-4214.637005117203
3630,-4214.637005117203
3640,-4214.637005117203
3650,-4214.637005117203
3660,-4214.637005117203
3670,-4214.637005117203
3680,-4214.637005117203
3690,-4214.637005117203
3700,-4214.637005117203
3710,-4214.637005117203
3720,-4214.637005117203
3730,-4214.637005117203
3740,-4214.637005117203
3750,-4214.637005117203
3760,-4214.637005117203
3770,-4214.637005117203
3780,-4214.637005117203
3790,-4214.637005117203
3800,-4214.637005117203
3810,-4214.637005117203
3820,-4214.637005117203
3830,-4214.637005117203
3840,-4214.637005117203
3850,-4214.637005117203
3860,-4214.637005117203
3870,-4214.637005117203
3880,-4214.637005117203
3890,-4214.637005117203
3900,-4214.637005117203
3910,-4214.637005117203
3920,-4214.637005117203
3930,-4214.637005117203
3940,-4214.637005117203
3950,-4214.637005117203
3960,-4214.637005117203
3970,-4214.637005117203
3980,-4214.637005117203
3990,-4214.637005117203
4000,-4214.637005117203
4010,-4214.637005117203
4020,-4214.637005117203
4030,-4214.637005117203
4040,-4214.637005117203
4050,-4214.637005117203
4060,-4214.637005117203
4070,-4214.637005117203
4080,-4214.637005117203
4090,-4214.637005117203
4100,-4214.637005117203
4110,-4214.637005117203
4120,-4214.637005117203
4130,-4214.637005117203
4140,-4214.637005117203
4150,-4214.637005117203
4160,-4214.637005117203
4170,-4214.637005117203
4180,-4214.637005117203
4190,-4214.637005117203
4200,-4214.637005117203
4210,-4214.637005117203
4220,-4214.637005117203
4230,-4214.637005117203
4240,-4214.637005117203
4250,-4214.637005117203
4260,-4214.637005117203
4270,-4214.637005117203
4280,-4214.637005117203
4290,-4214.637005117203
4300,-4214.637005117203
4310,-4214.637005117203
4320,-4214.637005117203
4330,-4214.637005117203
4340,-4214.637005117203
4350,-4214.637005117203
4360,-4214.637005117203
4370,-4214.637005117203
4380,-4214.637005117203
4390,-4214.637005117203
4400,-4214.637005117203
4410,-4214.637005117203
4420,-4214.637005117203
4430,-4214.637005117203
4440,-4214.637005117203
4450,-4214.637005117203
4460,-4214.637005117203
4470,-4214.637005117203
4480,-4214.637005117203
4490,-4214.637005117203
4500,-4214.637005117203
4510,-4214.637005117203
4520,-4214.637005117203
4530,-4214.637005117203
4540,-4214.637005117203
4550,-4214.637005117203
4560,-4214.637005117203
4570,-4214.637005117203
4580,-4214.637005117203
4590,-4214.637005117203
4600,-4214.637005117203
4610,-4214.637005117203
4620,-4214.637005117203
4630,-4214.637005117203
4640,-4214.637005117203
4650,-4214.637005117203
4660,-4214.637005117203
4670,-4214.637005117203
4680,-4214.637005117203
4690,-4214.637005117203
4700,-4214.637005117203
4710,-4214.637005117203
4720,-4214.637005117203
4730,-4214.637005117203
4740,-4214.637005117203
4750,-4214.637005117203
4760,-4214.637005117203
4770,-4214.637005117203
4780,-4214.637005117203
4790,-4214.637005117203
4800,-4214.637005117203
4810,-4214.637005117203
4820,-4214.637005117203
4830,-4214.637005117203
4840,-4214.637005117203
4850,-4214.637005117203
4860,-4214.637005117203
4870,-4214.637005117203
4880,-4214.637005117203
4890,-4214.637005117203
4900,-4214.637005117203
4910,-4214.637005117203
4920,-4214.637005117203
4930,-4214.637005117203
4940,-4214.637005117203
4950,-4214.637005117203
4960,-4214.637005117203
4970,-4214.637005117203
4980,-4214.637005117203
4990,-4214.637005117203
5000,-4214.637005117203
5010,-4214.637005117203
5020,-4214.637005117203
5030,-4214.637005117203
5040,-4214.637005117203
5050,-4214.637005117203
5060,-4214.637005117203
5070,-4214.637005117203
5080,-4214.637005117203
5090,-4214.637005117203
5100,-4214.637005117203
5110,-4214.637005117203
5120,-4214.637005117203
5130,-4214.637005117203
5140,-4214.637005117203
5150,-4214.637005117203
5160,-4214.637005117203
5170,-4214.637005117203
5180,-4214.637005117203
5190,-4214.637005117203
5200,-4214.637005117203
5210,-4214.637005117203
5220,-4214.637005117203
5230,-4214.637005117203
5240,-4214.637005117203
5250,-4214.637005117203
5260,-4214.637005117203
5270,-4214.637005117203
5280,-4214.637005117203
5290,-4214.637005117203
5300,-4214.637005117203
5310,-4214.637005117203
5320,-4214.637005117203
5330,-4214.637005117203
5340,-4214.637005117203
5350,-4214.637005117203
5360,-4214.637005117203
5370,-4214.637005117203
5380,-4214.637005117203
5390,-4214.637005117203
5400,-4214.637005117203
5410,-4214.637005117203
5420,-4214.637005117203
5430,-4214.637005117203
5440,-4214.637005117203
5450,-4214.637005117203
5460,-4214.637005117203
5470,-4214.637005117203
5480,-4214.637005117203
5490,-4214.637005117203
5500,-4214.637005117203
5510,-4214.637005117203
5520,-4214.637005117203
5530,-4214.637005117203
5540,-4214.637005117203
5550,-4214.637005117203
5560,-4214.637005117203
5570,-4214.637005117203
5580,-4214.637005117203
5590,-4214.637005117203
5600,-4214.637005117203
5610,-4214.637005117203
5620,-4214.637005117203
5630,-4214.637005117203
5640,-4214.637005117203
5650,-4214.637005117203
5660,-4214.637005117203
5670,-4214.637005117203
5680,-4214.637005117203
5690,-4214.637005117203
5700,-4214.637005117203
5710,-4214.637005117203
5720,-4214.637005117203
5730,-4214.637005117203
5740,-4214.637005117203
5750,-4214.637005117203
5760,-4214.637005117203
5770,-4214.637005117203
5780,-4214.637005117203
5790,-4214.637005117203
5800,-4214.637005117203
5810,-4214.637005117203
5820,-4214.637005117203
5830,-4214.637005117203
5840,-4214.637005117203
5850,-4214.637005117203
5860,-4214.637005117203
5870,-4214.637005117203
5880,-4214.637005117203
5890,-4214.637005117203
5900,-4214.637005117203
5910,-4214.637005117203
5920,-4214.637005117203
5930,-4214.637005117203
5940,-4214.637005117203
5950,-4214.637005117203
5960,-4214.637005117203
5970,-4214.637005117203
5980,-4214.637005117203
5990,-4214.637005117203
6000,-4214.637005117203
6010,-4214.637005117203
6020,-4214.637005117203
6030,-4214.637005117203
6040,-4214.637005117203
6050,-4214.637005117203
6060,-4214.637005117203
6070,-4214.637005117203
6080,-4214.637005117203
6090,-4214.637005117203
6100,-4214.637005117203
6110,-4214.637005117203
6120,-4214.637005117203
6130,-4214.637005117203
6140,-4214.637005117203
6150,-4214.637005117203
6160,-4214.637005117203
6170,-4214.637005117203
6180,-4214.637005117203
6190,-4214.637005117203
6200,-4214.637005117203
6210,-4214.637005117203
6220,-4214.637005117203
6230,-4214.637005117203
6240,-4214.637005117203
6250,-4214.637005117203
6260,-4214.637005117203
6270,-4214.637005117203
6280,-4214.637005117203
6290,-4214.637005117203
6300,-4214.637005117203
6310,-4214.637005117203
6320,-4214.637005117203
6330,-4214.637005117203
6340,-4214.637005117203
6350,-4214.637005117203
6360,-4214.637005117203
6370,-4214.637005117203
6380,-4214.637005117203
6390,-4214.637005117203
6400,-4214.637005117203
6410,-4214.637005117203
6420,-4214.637005117203
6430,-4214.637005117203
6440,-4214.637005117203
6450,-4214.637005117203
6460,-4214.637005117203
6470,-4214.637005117203
6480,-4214.637005117203
6490,-4214.637005117203
6500,-4214.637005117203
6510,-4214.637005117203
6520,-4214.637005117203
6530,-4214.637005117203
6540,-4214.637005117203
6550,-4214.637005117203
6560,-4214.637005117203
6570,-4214.637005117203
6580,-4214.637005117203
6590,-4214.637005117203
6600,-4214.637005117203
6610,-4214.637005117203
6620,-4214.637005117203
6630,-4214.637005117203
6640,-4214.637005117203
6650,-4214.637005117203
6660,-4214.637005117203
6670,-4214.637005117203
6680,-4214.637005117203
6690,-4214.637005117203
6700,-4214.637005117203
6710,-4214.637005117203
6720,-4214.637005117203
6730,-4214.637005117203
6740,-4214.637005117203
6750,-4214.637005117203
6760,-4214.637005117203
6770,-4214.637005117203
6780,-4214.637005117203
6790,-4214.637005117203
6800,-4214.637005117203
6810,-4214.637005117203
6820,-4214.637005117203
6830,-4214.637005117203
6840,-4214.637005117203
6850,-4214.637005117203
6860,-4214.637005117203
6870,-4214.637005117203
6880,-4214.637005117203
6890,-4214.637005117203
6900,-4214.637005117203
6910,-4214.637005117203
6920,-4214.637005117203
6930,-4214.637005117203
6940,-4214.637005117203
6950,-4214.637005117203
6960,-4214.637005117203
6970,-4214.637005117203
6980,-4214.637005117203
6990,-4214.637005117203
7000,-4214.637005117203
7010,-4214.637005117203
7020,-4214.637005117203
7030,-4214.637005117203
7040,-4214.637005117203
7050,-4214.637005117203
7060,-4214.637005117203
7070,-4214.637005117203
7080,-4214.637005117203
7090,-4214.637005117203
7100,-4214.637005117203
7110,-4214.637005117203
7120,-4214.637005117203
7130,-4214.637005117203
7140,-4214.637005117203
7150,-4214.637005117203
7160,-4214.637005117203
7170,-4214.637005117203
7180,-4214.637005117203
7190,-4214.637005117203
7200,-4214.637005117203
7210,-4214.637005117203
7220,-4214.637005117203
7230,-4214.637005117203
7240,-4214.637005117203
7250,-4214.637005117203
7260,-4214.637005117203
7270,-4214.637005117203
7280,-4214.637005117203
7290,-4214.637005117203
7300,-4214.637005117203
7310,-4214.637005117203
7320,-4214.637005117203
7330,-4214.637005117203
7340,-4214.637005117203
7350,-4214.637005117203
7360,-4214.637005117203
7370,-4214.637005117203
7380,-4214.637005117203
7390,-4214.637005117203
7400,-4214.637005117203
7410,-4214.637005117203
7420,-4214.637005117203
7430,-4214.637005117203
7440,-4214.637005117203
7450,-4214.637005117203
7460,-4214.637005117203
7470,-4214.637005117203
7480,-4214.637005117203
7490,-4214.637005117203
7500,-4214.637005117203
7510,-4214.637005117203
7520,-4214.637005117203
7530,-4214.637005117203
7540,-4214.637005117203
7550,-4214.637005117203
7560,-4214.637005117203
7570,-4214.637005117203
7580,-4214.637005117203
7590,-4214.637005117203
7600,-4214.637005117203
7610,-4214.637005117203
7620,-4214.637005117203
7630,-4214.637005117203
7640,-4214.637005117203
7650,-4214.637005117203
7660,-4214.637005117203
7670,-4214.637005117203
7680,-4214.637005117203
7690,-4214.637005117203
7700,-4214.637005117203
7710,-4214.637005117203
7720,-4214.637005117203
7730,-4214.637005117203
7740,-4214.637005117203
7750,-4214.637005117203
7760,-4214.637005117203
7770,-4214.637005117203
7780,-4214.637005117203
7790,-4214.637005117203
7800,-4214.637005117203
7810,-4214.637005117203
7820,-4214.637005117203
7830,-4214.637005117203
7840,-4214.637005117203
7850,-4214.637005117203
7860,-4214.637005117203
7870,-4214.637005117203
7880,-4214.637005117203
7890,-4214.637005117203
7900,-4214.637005117203
7910,-4214.637005117203
7920,-4214.637005117203
7930,-4214.637005117203
7940,-4214.637005117203
7950,-4214.637005117203
7960,-4214.637005117203
7970,-4214.637005117203
7980,-4214.637005117203
7990,-4214.637005117203
8000,-4214.637005117203
8010,-4214.637005117203
8020,-4214.637005117203
8030,-4214.637005117203
