iteracao,score
1390,-4262.975222242309
1400,-4262.975222242309
1410,-4261.4486537910025
1420,-4261.4486537910025
1430,-4261.4486537910025
1440,-4261.4486537910025
1450,-4259.79384764141
1460,-4259.79384764141
1470,-4259.79384764141
1480,-4259.79384764141
1490,-4256.978531515518
1500,-4256.978531515518
1510,-4256.749597134976
1520,-4256.749597134976
1530,-4256.749597134976
1540,-4256.749597134976
1550,-4256.749597134976
1560,-4256.749597134976
1570,-4256.749597134976
1580,-4256.276115674764
1590,-4256.276115674764
1600,-4256.034256040283
1610,-4256.034256040283
1620,-4256.034256040283
1630,-4256.034256040283
1640,-4256.034256040283
1650,-4256.034256040283
1660,-4256.034256040283
1670,-4256.034256040283
1680,-4256.034256040283
1690,-4256.034256040283
1010,-4640.306168890059
1020,-4587.6381806362315
1030,-4494.044661507571
1040,-4430.860260249468
1050,-4430.860260249468
1060,-4385.8225856719555
1070,-4385.8225856719555
1080,-4383.165316803954
1090,-4382.009346627583
1100,-4365.8005529951415
1110,-4364.06574901575
1120,-4308.314196061416
1130,-4302.876636085431
1140,-4297.007734163104
1150,-4297.007734163104
1160,-4297.007734163104
1170,-4297.007734163104
1180,-4297.007734163104
1190,-4297.007734163104
1200,-4297.007734163104
1210,-4297.007734163104
1220,-4297.007734163104
1230,-4297.007734163104
1110,-4502.723471211682
1120,-4493.055935403864
1130,-4419.468866820524
1140,-4358.586732301844
1150,-4341.716322386807
1160,-4341.716322386807
1170,-4341.716322386807
1180,-4341.716322386807
1190,-4339.80758032151
1200,-4325.9217459692845
1210,-4320.34230788687
1220,-4317.009970317266
1230,-4300.772334353917
1240,-4296.198932961946
1250,-4294.316400472154
1260,-4285.644315678542
1270,-4273.893234473509
1280,-4273.893234473509
1290,-4273.893234473509
1300,-4273.5120962843985
1310,-4273.5120962843985
1320,-4258.933019201973
1330,-4255.641470897922
1340,-4255.3805581254655
1350,-4255.3805581254655
1360,-4254.686444553689
1370,-4254.686444553689
1380,-4246.8492460606185
1390,-4246.8492460606185
1400,-4246.8492460606185
1410,-4246.8492460606185
1420,-4246.8492460606185
1430,-4246.8492460606185
1440,-4246.8492460606185
1450,-4246.8492460606185
1460,-4243.847292242266
1470,-4242.24825989845
1480,-4242.24825989845
1490,-4242.24825989845
1500,-4242.24825989845
1510,-4240.761320781504
1520,-4240.761320781504
1530,-4237.45016560126
1540,-4237.45016560126
1550,-4236.688084923541
1560,-4236.688084923541
1570,-4236.688084923541
1580,-4236.140903821151
1590,-4236.140903821151
1600,-4234.8296160698455
1610,-4234.8296160698455
1620,-4234.8296160698455
1630,-4234.8296160698455
1640,-4234.8296160698455
1650,-4234.8296160698455
1660,-4234.8296160698455
1670,-4231.70501005956
1680,-4231.123179112244
1690,-4231.123179112244
1700,-4230.637841859089
1710,-4230.637841859089
1720,-4230.637841859089
1730,-4230.637841859089
1740,-4230.637841859089
1750,-4230.637841859089
1760,-4230.637841859089
1770,-4230.637841859089
1780,-4230.637841859089
1790,-4230.637841859089
1210,-4503.848494272524
1220,-4470.732514868049
1230,-4462.051839711771
1240,-4446.208438525196
1250,-4363.036744200488
1260,-4354.148700622511
1270,-4351.7758352278215
1280,-4351.7758352278215
1290,-4351.7758352278215
1300,-4336.39011878771
1310,-4336.066209816457
1320,-4335.863542449726
1330,-4335.863542449726
1340,-4335.863542449726
1350,-4325.032067282344
1360,-4317.92907605429
1370,-4316.059089736522
1380,-4316.059089736522
1390,-4316.059089736522
1400,-4312.948760037862
1410,-4311.566116429461
1420,-4311.566116429461
1430,-4311.566116429461
1440,-4299.603559080467
1450,-4299.603559080467
1460,-4299.603559080467
1470,-4295.465672771121
1480,-4295.465672771121
1490,-4286.490268352437
1500,-4286.256758015602
1510,-4286.256758015602
1520,-4283.511615261221
1530,-4282.478437147415
1540,-4275.36485107818
1550,-4275.36485107818
1560,-4275.36485107818
1570,-4275.165694515055
1580,-4272.055247760147
1590,-4252.702292059086
1600,-4246.686307670603
1610,-4246.686307670603
1620,-4231.398768871085
1630,-4231.398768871085
1640,-4231.398768871085
1650,-4229.128453765521
1660,-4229.128453765521
1670,-4229.128453765521
1680,-4226.682725997259
1690,-4223.214556807106
1700,-4216.302591073923
1710,-4216.302591073923
1720,-4216.302591073923
1730,-4216.302591073923
1740,-4216.302591073923
1750,-4216.302591073923
1760,-4216.302591073923
1770,-4216.302591073923
1780,-4215.930279762216
1790,-4208.223044124756
1800,-4207.712389537299
1810,-4207.712389537299
1820,-4207.712389537299
1830,-4207.712389537299
1840,-4207.712389537299
1850,-4194.779111010651
1860,-4194.125677780137
1870,-4194.125677780137
1880,-4188.8948772966405
1890,-4188.8948772966405
1900,-4188.8948772966405
1910,-4188.8948772966405
1920,-4188.489736758511
1930,-4187.3398586501435
1940,-4187.3398586501435
1950,-4187.3398586501435
1960,-4169.128694864189
1970,-4169.128694864189
1980,-4169.128694864189
1990,-4169.128694864189
2000,-4169.128694864189
2010,-4155.9212212255925
2020,-4155.9212212255925
2030,-4155.9212212255925
2040,-4155.9212212255925
2050,-4151.963953394019
2060,-4150.305043276127
2070,-4150.305043276127
2080,-4150.305043276127
2090,-4148.918035176512
2100,-4148.918035176512
